Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA4200939,COTTON WOOD WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,3,NULL,NULL,NULL,3,SC,Small Community,6/11/2018,SANTA MARIA,NULL,,D1,Distribution Operator Level 1
CA4200941,BABCOCK WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,4/17/2019,LOMPOC,NULL,,D1,Distribution Operator Level 1
CA4200942,FOLEY ESTATES WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,11/6/2019,SOLVANG,NULL,,D1,Distribution Operator Level 1
CA4200943,TEIXEIRA FARMS - FRONTIER COOLING,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,80,NULL,80,NULL,2,NULL,NULL,NULL,2,SP,Non-Transient Non-Community Water System,6/26/2019,SANTA MARIA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4200944,SHOESTRING WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,5/28/2019,SOLVANG,NULL,,D1,Distribution Operator Level 1
CA4200946,RANCHO LA VINA WINERY,SANTA BARBARA,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,4,10,NULL,14,NULL,5,NULL,NULL,NULL,5,XS,State Small Water System,NULL,LOMPOC,NULL,,NULL,
CA4200947,BETTER COOLING PRODUCE,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,35,NULL,35,NULL,2,NULL,NULL,NULL,2,SP,Non-Transient Non-Community Water System,3/14/2019,SANTA MARIA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4200948,TRES HERMANAS WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,6/25/2019,SANTA MARIA,NULL,,D1,Distribution Operator Level 1
CA4200949,WHITE LOTUS,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,NULL,7,NULL,NULL,NULL,7,N1,Transient Non-Community Water System,8/7/2019,SANTA BARBARA,NULL,,D1,Distribution Operator Level 1
CA4200950,RIVERBENCH WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,9/25/2019,SANTA MARIA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4200951,DIERBERG/STAR LANE VINEYARD,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,6/11/2019,LOMPOC,NULL,,D1,Distribution Operator Level 1
CA4200952,FOXEN VINEYARD INC.,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,60,60,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,3/18/2019,SANTA MARIA,NULL,,NR,Not Required
CA4200957,VOLK VINEYARDS,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,1/15/2020,SANTA MARIA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4200960,LIVE OAK CAMPGROUND,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GU,Groundwater UDI Surface Water,NULL,NULL,100,100,NULL,2,NULL,NULL,NULL,2,NULL,,5/20/2020,NULL,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4200961,PACIFIC COAST ENERGY COMPANY,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,50,NULL,50,NULL,4,NULL,NULL,NULL,4,,,10/9/2019,SANTA MARIA,NULL,,D1,Distribution Operator Level 1
CA4200962,WINDSET FARMS GREENHOUSES,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,900,NULL,900,NULL,2,NULL,NULL,NULL,2,SP,Non-Transient Non-Community Water System,5/1/2018,SANTA MARIA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4200963,CHISAN ORCHIDS NURSERY,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,35,NULL,35,NULL,4,NULL,NULL,NULL,4,,,8/20/2019,LOS ALAMOS,NULL,,D1,Distribution Operator Level 1
CA4200964,FLAG IS UP FARMS,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,150,150,NULL,6,NULL,NULL,NULL,6,NULL,,8/20/2019,NULL,NULL,,NR,Not Required
CA4200965,FESS PARKER WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,10,NULL,400,410,NULL,5,NULL,NULL,NULL,5,NULL,,8/6/2019,NULL,NULL,,D1,Distribution Operator Level 1
CA4200967,VINCENT VINEYARDS,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,NULL,4,NULL,NULL,NULL,4,NULL,,4/18/2019,NULL,NULL,,NR,Not Required
CA4200968,MARTIAN RANCH & VINEYARD,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,NULL,4,NULL,NULL,NULL,4,NULL,,8/15/2018,LOS ALAMOS,NULL,,D1,Distribution Operator Level 1
CA4200969,AAA KINDNESS CARE HOME,SANTA BARBARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,30,NULL,15,45,NULL,2,NULL,NULL,NULL,2,NULL,,6/18/2018,NULL,NULL,,D1,Distribution Operator Level 1
CA4200970,BRICK BARN ESTATE WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,60,60,NULL,6,NULL,NULL,NULL,6,NULL,,4/24/2019,NULL,NULL,,D1,Distribution Operator Level 1
CA4200971,PETROS WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,NULL,1,NULL,NULL,1,NULL,,6/14/2019,NULL,NULL,,NR,Not Required
CA4200972,PEAKE RANCH,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,5,NULL,88,93,NULL,5,NULL,NULL,NULL,5,NULL,,5/24/2019,NULL,NULL,,NR,Not Required
CA4200973,FOLDED HILLS WINERY,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,235,235,NULL,2,NULL,NULL,NULL,2,NULL,,8/29/2019,NULL,NULL,,NR,Not Required
CA4200974,MAIN STREET PRODUCE,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,45,NULL,45,NULL,5,NULL,NULL,NULL,5,NULL,,4/29/2020,NULL,NULL,,D1,Distribution Operator Level 1
CA4200976,THE HILT ESTATE,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,NULL,3,NULL,NULL,NULL,3,NULL,,5/28/2020,NULL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4210001,CARPINTERIA VALLEY WATER DISTRICT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,15346,NULL,NULL,15346,NULL,3992,NULL,NULL,NULL,3992,C1,Large Water System,2/6/2019,CARPINTERIA,T1,Treatment Operator Level 1,D3,Distribution Operator Level 3
CA4210002,LOS ALAMOS COMMUNITY SERVICES DISTRICT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,1800,NULL,NULL,1800,NULL,613,NULL,NULL,NULL,613,SC,Small Community,6/26/2020,LOS ALAMOS,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA4210003,GUADALUPE WATER DEPARTMENT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,7517,NULL,NULL,7517,NULL,2219,NULL,NULL,NULL,2219,DAVCL,Disadvantaged Large Community Water System,10/28/2020,GUADALUPE,T2,Treatment Operator Level 2,D2,Distribution Operator Level 2
CA4210004,GOLETA WATER DISTRICT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,86721,NULL,NULL,86721,NULL,16214,NULL,NULL,NULL,16214,C1,Large Water System,1/9/2020,GOLETA,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA4210005,SAN VICENTE WATER COMPANY,SANTA BARBARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,550,NULL,NULL,550,NULL,278,NULL,NULL,NULL,278,SC,Small Community,4/19/2019,SANTA BARBARA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4210006,LOMPOC-CITY WATER UTILITY DIV,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,40759,NULL,NULL,40759,NULL,9818,NULL,NULL,NULL,9818,C1,Large Water System,2/26/2019,LOMPOC,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CA4210007,MONTECITO WATER DIST,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,11428,NULL,NULL,11428,NULL,4574,NULL,NULL,NULL,4574,C1,Large Water System,3/9/2017,SANTA BARBARA,T4,Treatment Operator Level 4,D4,Distribution Operator Level 4
CA4210009,CUYAMA COMMUNITY SERVICES DISTRICT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,763,NULL,NULL,763,NULL,254,NULL,NULL,NULL,254,DAVCS,Disadvantaged Small Community Water System,5/10/2019,NEW CUYAMA,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4210010,CITY OF SANTA BARBARA WATER DEPARTMENT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,94929,NULL,NULL,94929,NULL,27107,NULL,NULL,NULL,27107,C1,Large Water System,11/5/2019,SANTA BARBARA,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA4210011,SANTA MARIA WATER DEPARTMENT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,107356,NULL,NULL,107356,NULL,23118,NULL,NULL,NULL,23118,DAVCL,Disadvantaged Large Community Water System,7/16/2019,SANTA MARIA,T3,Treatment Operator Level 3,D4,Distribution Operator Level 4
CA4210013,SOLVANG WATER DIVISION,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,5771,NULL,NULL,5771,NULL,2189,NULL,NULL,NULL,2189,C1,Large Water System,4/9/2018,SOLVANG,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,SANTA BARBARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,32157,NULL,NULL,32157,NULL,11612,NULL,NULL,NULL,11612,C1,Large Water System,4/16/2018,SANTA MARIA,T2,Treatment Operator Level 2,D3,Distribution Operator Level 3
CA4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,7376,NULL,NULL,7376,NULL,2556,NULL,NULL,NULL,2556,C1,Large Water System,12/20/2019,LOMPOC,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA4210018,BUELLTON WATER DEPARTMENT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,5453,NULL,NULL,5453,NULL,1836,NULL,NULL,NULL,1836,C1,Large Water System,9/27/2017,BUELLTON,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA4210019,MISSION HILLS CSD,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,3560,NULL,NULL,3560,NULL,1271,NULL,NULL,NULL,1271,C1,Large Water System,4/5/2018,LOMPOC,T1,Treatment Operator Level 1,D2,Distribution Operator Level 2
CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,6737,NULL,NULL,6737,NULL,2497,NULL,NULL,NULL,2497,C1,Large Water System,10/24/2018,SANTA YNEZ,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,SANTA BARBARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,1958,NULL,NULL,1958,NULL,451,NULL,NULL,NULL,451,SC,Small Community,9/26/2018,SANTA MARIA,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA4210022,GOLDEN STATE WATER COMPANY - LAKE MARIE,SANTA BARBARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,527,NULL,NULL,527,NULL,205,NULL,NULL,NULL,205,SC,Small Community,9/26/2018,SANTA MARIA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4210024,LA CUMBRE MUTUAL WATER CO,SANTA BARBARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,4861,NULL,NULL,4861,NULL,1436,NULL,NULL,NULL,1436,C1,Large Water System,9/18/2018,SANTA BARBARA,T1,Treatment Operator Level 1,D3,Distribution Operator Level 3
CA4210028,CACHUMA PROJECT,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,NULL,NULL,NULL,40875,NULL,40,NULL,NULL,NULL,40,WH,Wholesaler,NULL,SANTA BARBARA,NULL,,D3,Distribution Operator Level 3
CA4210030,CENTRAL COAST WATER AUTHORITY,SANTA BARBARA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,NULL,NULL,NULL,454575,NULL,15,NULL,NULL,NULL,15,WH,Wholesaler,8/1/2018,BUELLTON,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
CA4210303,REFUGIO STATE BEACH,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,NULL,850,850,NULL,10,NULL,NULL,NULL,10,N1,Transient Non-Community Water System,12/12/2019,GOLETA,T2,Treatment Operator Level 2,NR,Not Required
CA4210304,EL CAPITAN BEACH STATE PARK,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GW,Groundwater,NULL,NULL,900,900,NULL,13,NULL,NULL,NULL,13,N1,Transient Non-Community Water System,10/30/2019,GOLETA,T2,Treatment Operator Level 2,NR,Not Required
CA4210305,LAS CRUCES STATE PARK,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,GU,Groundwater UDI Surface Water,NULL,NULL,300,300,NULL,9,NULL,NULL,NULL,9,N1,Transient Non-Community Water System,12/12/2019,GOLETA,T2,Treatment Operator Level 2,NR,Not Required
CA4210700,"AMERICAN WATER O&M, LLC - VAFB",SANTA BARBARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,14971,NULL,NULL,14971,NULL,1161,NULL,NULL,NULL,1161,C1,Large Water System,6/27/2019,VANDENBERG AFB,T2,Treatment Operator Level 2,D4,Distribution Operator Level 4
CA4210900,CAL TRANS - GAVIOTA RSR,SANTA BARBARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,S,State Government,SWP,Surface Water Purchased,NULL,NULL,300,300,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,7/1/2020,BUELLTON,NULL,,NR,Not Required
CA4300516,ALDERCROFT HEIGHTS COUNTY WATER DISTRICT,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,SW,Surface Water,338,NULL,NULL,338,NULL,NULL,NULL,NULL,116,116,SC,Small Community,5/30/2018,LOS GATOS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300517,CHEMEKETA PARK MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,346,NULL,NULL,346,NULL,NULL,NULL,NULL,153,153,SC,Small Community,7/31/2018,LOS GATOS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300520,RAINERI MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,132,NULL,NULL,132,NULL,NULL,NULL,NULL,40,40,SC,Small Community,4/10/2019,LOS GATOS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300521,KENNON WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,142,NULL,NULL,142,NULL,NULL,NULL,NULL,43,43,SC,Small Community,5/1/2019,LOS GATOS,NULL,,D1,Distribution Operator Level 1
CA4300522,LAKE CANYON MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SW,Surface Water,156,NULL,NULL,156,NULL,NULL,NULL,NULL,56,56,SC,Small Community,5/28/2019,LOS GATOS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300525,MELODY WOODS WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,168,NULL,NULL,168,NULL,51,NULL,NULL,NULL,51,SC,Small Community,1/31/2019,LOS GATOS,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300526,OAKMONT WATER SYSTEM,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,63,NULL,NULL,63,NULL,NULL,NULL,NULL,25,25,SC,Small Community,4/10/2018,LOS GATOS,NULL,,D1,Distribution Operator Level 1
CA4300542,SAN MARTIN COUNTY WATER DISTRICT,SANTA CLARA,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,614,NULL,NULL,614,NULL,NULL,37,NULL,149,186,SC,Small Community,3/16/2017,SAN MARTIN,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300543,WEST SAN MARTIN WATER WORKS INC,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,1006,100,300,1406,7,NULL,42,2,258,309,SC,Small Community,10/22/2019,SAN MARTIN,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA4300545,SARATOGA HEIGHTS MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,258,NULL,NULL,258,NULL,NULL,NULL,NULL,92,92,SC,Small Community,8/19/2019,SARATOGA,NULL,,D1,Distribution Operator Level 1
CA4300546,SIERRA ROAD IMPROVEMENT ASSOCIATION INC,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,140,NULL,70,210,NULL,NULL,NULL,NULL,47,47,SC,Small Community,8/9/2019,SAN JOSE,NULL,,D1,Distribution Operator Level 1
CA4300550,VISTA GRANDE WATER USERS ASSOCIATION,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,60,NULL,NULL,60,NULL,24,NULL,NULL,NULL,24,SC,Small Community,11/4/2019,LOS GATOS,NULL,,D1,Distribution Operator Level 1
CA4300551,HAPPY ACRES MWC,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,220,NULL,NULL,220,NULL,79,NULL,NULL,NULL,79,SC,Small Community,4/12/2018,GILROY,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300560,GREEN MOUNTAIN WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,80,NULL,NULL,80,NULL,NULL,NULL,NULL,38,38,SC,Small Community,3/6/2020,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300562,ROSEVIEW HEIGHTS MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,143,NULL,NULL,143,NULL,NULL,NULL,NULL,51,51,SC,Small Community,5/2/2019,SAN JOSE,NULL,,D1,Distribution Operator Level 1
CA4300563,MT. PLEASANT WATER USERS ASSOCIATION,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,300,NULL,NULL,300,NULL,NULL,NULL,NULL,90,90,SC,Small Community,9/19/2017,SAN JOSE,NULL,,D1,Distribution Operator Level 1
CA4300567,BURCHELL ROAD WATER ASSOCIATION,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,132,NULL,NULL,132,NULL,NULL,NULL,NULL,27,27,SC,Small Community,8/7/2019,GILROY,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300571,SULLIVAN MUTUAL WATER,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,53,NULL,NULL,53,NULL,16,NULL,NULL,NULL,16,SC,Small Community,2/11/2020,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300573,GREEN ACRES MUTUAL WATER,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,53,NULL,NULL,53,NULL,NULL,NULL,NULL,19,19,SC,Small Community,3/16/2017,MORGAN HILL,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300575,TWIN VALLEY INC,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,317,NULL,NULL,317,NULL,NULL,NULL,NULL,96,96,SC,Small Community,9/13/2018,MORGAN HILL,NULL,,D1,Distribution Operator Level 1
CA4300577,RANCHO ROBLES MUTUAL WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,112,NULL,NULL,112,NULL,NULL,NULL,NULL,41,41,SC,Small Community,11/15/2019,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300578,ANGELO LANE WATER COMPANY,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,52,NULL,NULL,52,NULL,NULL,NULL,NULL,15,15,SC,Small Community,11/6/2018,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300581,VELLADAO MOBILE HOME PARK,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,75,NULL,NULL,75,NULL,27,NULL,NULL,NULL,27,SC,Small Community,5/18/2017,GILROY,NULL,,D1,Distribution Operator Level 1
CA4300593,MORGAN HILL USD-MACHADO SCHOOL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,60,NULL,60,NULL,NULL,1,NULL,NULL,1,SP,Non-Transient Non-Community Water System,1/29/2018,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300596,COYOTE CREEK GOLF CLUB,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,110,NULL,110,NULL,NULL,31,NULL,NULL,31,SP,Non-Transient Non-Community Water System,8/1/2018,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300602,ECONOMY INN,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,NULL,29,NULL,NULL,29,N1,Transient Non-Community Water System,5/18/2017,MORGAN HILL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300603,OAK DELL PARK,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,100,NULL,NULL,100,NULL,53,NULL,NULL,NULL,53,SC,Small Community,4/17/2019,MORGAN HILL,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CA4300605,GILROY USD-RUCKER SCHOOL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,688,NULL,688,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,1/29/2018,GILROY,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA4300608,GAVILAN JOINT COMMUNITY COLLEGE DISTRICT,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,989,NULL,989,NULL,22,NULL,NULL,NULL,22,SP,Non-Transient Non-Community Water System,6/28/2018,GILROY,TD,Treatment or distribution operator of any grade,D2,Distribution Operator Level 2
CA4300610,ANCHORPOINT CHRISTIAN SCHOOL,SANTA CLARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,85,NULL,85,NULL,1,NULL,NULL,NULL,1,SP,Non-Transient Non-Community Water System,8/25/2016,GILROY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300611,CASA DE FRUTA WATER SYSTEM,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,250,NULL,NULL,250,NULL,NULL,7,NULL,30,37,SC,Small Community,9/6/2017,HOLLISTER,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA4300612,MT. MADONNA COUNTY PARK,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,5,11,600,616,NULL,12,NULL,NULL,NULL,12,N1,Transient Non-Community Water System,7/25/2018,WATSONVILLE,NULL,,NR,Not Required
CA4300614,SVEADAL WATER SYSTEM,SANTA CLARA,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,9,NULL,75,84,4,1,NULL,NULL,57,62,N1,Transient Non-Community Water System,6/27/2018,MORGAN HILL,NULL,,NR,Not Required
CA4300615,THOUSAND TRAILS - MORGAN HILL,SANTA CLARA,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,108,NULL,400,508,NULL,NULL,NULL,NULL,320,320,N1,Transient Non-Community Water System,12/12/2018,MORGAN HILL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
