OID_,SABL_PWSID,BOUNDARY_T,WATER_SYST,WATER_SY_1,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,OBJECTID,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,COUNTY,POPULATION,REGULATING,FEDERAL_CL,STATE_CLAS,ADDR_LINE_,ADDR_LINE1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,SERVICE_CO,GLOBALID,AC_PHONE_N,AC_EMAIL,BOUNDARY_F,DT_VERIFIE,VERIFIED_S,VERIFIED_N,VERIFIED_T,Shape__Are,Shape__Len,Lat,Long
4433,CA3710014,Water Service Area,CA3710014,"OCEANSIDE, CITY OF",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,1333,A,1/1/1976 0:00:00,L,SAN DIEGO,178021,DISTRICT 08 - SANTA ANA,COMMUNITY,COMMUNITY,300 NORTH COAST HIGHWAY, ,OCEANSIDE,CA,92054,44372,{A2E36A3D-5AA1-4DB6-B2ED-960C0C6111C8},760-435-5912,lrigby@oceansideca.org,WBT Tool,,Not Verified, , ,156436778.919999986886978,89406.415947100002086,33.224656889899997,-117.308361196000007
4434,CA1500465,Water Service Area,CA1500465,OAK KNOLLS MUTUAL WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,1394,A,3/22/1979 0:00:00,P,KERN,123,DISTRICT 19 - TEHACHAPI,COMMUNITY,COMMUNITY,108 BOURBON, ,WOFFORD HEIGHTS,CA,93285,47,{11281A6B-BF22-489C-BCC4-060E85AE8107},760-379-7359,wwwsham56@yahoo.com,WBT Tool,,Not Verified, , ,61492.085026399996423,1041.260585759999913,35.704297641600000,-118.464052745000004
4435,CA1010042,Water Service Area,CA1010042,MALAGA COUNTY WATER DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2156,A,1/1/1976 0:00:00,L,FRESNO,5979,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,3580 SOUTH FRANK STREET, ,FRESNO,CA,93725,462,{6C20EAA1-F10A-427F-A0D1-8090973B2606},559-485-7353,mortiz@malagacwd.org,WBT Tool,,Not Verified, , ,9942912.251240000128746,32524.192137199999706,36.681111020899998,-119.730773698999997
4436,CA4300575,Water Service Area,CA4300575,TWIN VALLEY INC,SBUCKNAM,10/20/2020 0:00:00,epa\gisservice,8/3/2021 0:00:00,2560,A,11/30/1981 0:00:00,P,SANTA CLARA,317,DISTRICT 17 - SANTA CLARA,COMMUNITY,COMMUNITY,14295 SYCAMORE DRIVE, ,MORGAN HILL,CA,95037,96,{66784D32-18C9-4E0D-8A0D-BED95AB1D234},707-479-8880,marlene@demeryandassoc.com,WBT Tool,8/2/2021 0:00:00,Verified,LJeske,State Board staff member,4741759.661349999718368,14767.978122500000609,37.074236060499999,-121.666702862999998
4437,CA3310003,Water Service Area,CA3310003,BLYTHE - CITY OF,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2663,A,1/1/1976 0:00:00,L,RIVERSIDE,11250,DISTRICT 20 - RIVERSIDE,COMMUNITY,COMMUNITY,440 S. MAIN STREET, ,BLYTHE,CA,92225,3446,{6AAC6A45-C7ED-4706-B251-295CFB4546EF},760-922-6161,msutterfield@cityofblythe.ca.gov,WBT Tool,,Not Verified, , ,19363599.930500000715256,49893.691787299998396,33.611172134900002,-114.583971868000006
4438,CA2400097,Water Service Area,CA2400097,CRESSEY SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2747,A,3/18/1993 0:00:00,P,MERCED,155,DISTRICT 11 - MERCED,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,9921 West Crocker Avenue, ,CRESSEY,CA,95312,7,{D38F2F6A-7ADD-4B97-9ACB-8FB8A46E4FA0},209-632-5371,ehickman@ballicocressey.com,WBT Tool,,Not Verified, , ,21411.114987299999484,593.339262779000023,37.421099958500001,-120.666506333000001
4439,CA1000295,Water Service Area,CA1000295,KINGS PARK APARTMENTS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3057,A,6/28/1980 0:00:00,P,FRESNO,120,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,3117 S SANGER, ,SANGER,CA,93657,41,{6C0DF36C-7A58-4769-B62D-03ECD55A62F0},559-875-7521,dcheney5@verizon.net,WBT Tool,,Not Verified, , ,19834.792269500001566,636.583230931000003,36.689793852599998,-119.557906074000002
4440,CA4300603,Water Service Area,CA4300603,OAK DELL PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3159,A,11/30/1981 0:00:00,P,SANTA CLARA,100,DISTRICT 17 - SANTA CLARA,COMMUNITY,COMMUNITY,12790 WATSONVILLE ROAD,12790__WATSONVILLE         RD,MORGAN HILL,CA,95037,53,{E8CFD729-F510-4EC6-A901-EBF8C8042398},408-741-0778,jallen9711@gmail.com,WBT Tool,,Not Verified, , ,268238.778110000013839,2207.188731440000083,37.058990004599998,-121.659069145000004
4441,CA1500289,Water Service Area,CA1500289,ATHAL MUTUAL WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3378,A,3/22/1979 0:00:00,P,KERN,150,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,5420 TAMARACK, ,BAKERSFIELD,CA,93307,55,{D28E5728-58B5-4D07-A8DE-D948F33B7CC4},661-346-6156,angelacgauna@yahoo.com,WBT Tool,,Not Verified, , ,131410.608309000002919,2262.019648930000130,35.306228436500000,-118.912774858000006
4442,CA1700546,Water Service Area,CA1700546,CLEAR WATER MUTUAL WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3406,A,3/22/1979 0:00:00,P,LAKE,252,DISTRICT 03 - MENDOCINO,COMMUNITY,COMMUNITY,4151 OSCEOLA AVENUE, ,KELSEYVILLE,CA,95451,89,{DCA035D6-EEDC-4FBF-A752-1DA55B9B1053},707-279-1207,clearwtr.water@sbcglobal.net,WBT Tool,,Not Verified, , ,138195.113914999994449,1615.084167640000032,38.980605665100001,-122.744714161000005
4443,CA2400209,Water Service Area,CA2400209,SAN LUIS HILLS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3826,A,5/17/1994 0:00:00,P,MERCED,300,DISTRICT 11 - MERCED,COMMUNITY,COMMUNITY,16125 S. SAN LUIS DRIVE, ,SANTA NELLA,CA,95322,65,{918A7E5F-63A5-409F-B46E-4E3BD424220B},209-826-4043,bfenters@slwd.net,WBT Tool,,Not Verified, , ,948279.287718000006862,4384.570647520000421,37.053919947600001,-121.010767412999996
4444,CA5200013,Water Service Area,CA5200013,WOMACK SUBDIVISION M.W.C.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3861,A,8/3/2016 0:00:00,P,TEHAMA,40,LPA82 - TEHAMA COUNTY,COMMUNITY,COMMUNITY,20474 wOMACK AVENUE, ,RED BLUFF,CA,96080,16,{1658161A-0A40-406E-BEDB-1DD184D05AA5},530-529-0535,dwplpa82@waterboards.ca.gov,WBT Tool,,Not Verified, , ,133251.906752999988385,1550.426500479999959,40.170292430700002,-122.276484388000000
4445,CA0900404,Water Service Area,CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3951,A,7/29/2016 0:00:00,P,EL DORADO,75,LPA39 - EL DORADO COUNTY,COMMUNITY,COMMUNITY,3881 MANY OAKS LN, ,SHINGLE SPRINGS,CA,95682,35,{A14799EF-1AE6-4A1B-A735-895BBF7E5877},916-772-4918,jim@waterhousemgmt.com,WBT Tool,,Not Verified, , ,31967.521667599998182,761.234672845999967,38.664928050500002,-120.946615675999993
4446,CA1000476,Water Service Area,CA1000476,FOOTHILL ELEMENTARY SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4026,A,11/24/1993 0:00:00,L,FRESNO,900,DISTRICT 23 - FRESNO,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,29147 AUBERRY RD, ,PRATHER,CA,93651,12,{5ED2021D-D3C8-4CE2-83C7-DDFE4A6D1177},559-855-8314,cbarnes@sierrausd.org,WBT Tool,,Not Verified, , ,337329.063957999984268,2844.303689140000188,37.039781725300003,-119.526010611000004
4447,CA1200566,Water Service Area,CA1200566,ORLEANS MUTUAL WATER CO.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4198,A,3/22/1979 0:00:00,P,HUMBOLDT,85,DISTRICT 01 - KLAMATH,COMMUNITY,COMMUNITY,P.O. BOX 54,ORLEANS,ORLEANS,CA,95556,38,{CCC287E3-45A2-4DCC-AC6A-AE31B12BB37E},707-627-3358,ROBERTA.ORL@GMAIL.COM,WBT Tool,,Not Verified, , ,276539.052132999990135,2309.595908130000225,41.297676405200001,-123.559943950000005
4448,CA1910097,Water Service Area,CA1910097,NORTHROP GRUMMAN CORP.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3657,A,1/1/1976 0:00:00,P,LOS ANGELES,5220,DISTRICT 22 - ANGELES,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,3520 E. AVENUE M,LOW A50/4G,PALMDALE,CA,93550,21,{3FE7A5F0-362C-4142-9CDA-31743932F6F5},661-965-3878,cory.meza@ngc.com,WBT Tool,,Not Verified, , ,2145737.238640000112355,6686.566467220000050,34.640815498899997,-118.074919738000006
4449,CA4400723,Water Service Area,CA4400723,MISSION SPRINGS CONFERENCE CENTER,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2742,A,1/29/2015 0:00:00,P,SANTA CRUZ,1310,LPA74 - SANTA CRUZ COUNTY,COMMUNITY,COMMUNITY,1050 LOCKHART GULCH RD, ,SCOTTS VALLEY,CA,95066,141,{A6D12495-6C84-4D42-9112-8C4453DA6DF4},831-335-9133,chuck.wysong@missionsprings.com,WBT Tool,,Not Verified, , ,91086.089373900002101,7185.182470880000437,37.063070268799997,-122.032738752000000
4450,CA3500823,Water Service Area,CA3500823,BEST ROAD MWC,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2243,A,7/3/1992 0:00:00,P,SAN BENITO,133,DISTRICT 05 - MONTEREY,COMMUNITY,COMMUNITY,975 MARANATHA DRIVE,MAP PAGE: MONT209C2,HOLLISTER,CA,95023,48,{8A84F9CD-40AF-4CBA-B3C0-10F41F620E6B},925-437-8831,julian_deville@hotmail.com,WBT Tool,,Not Verified, , ,1210874.658629999961704,6042.171565050000027,36.821468258099998,-121.344129319999993
4451,CA2710016,Water Service Area,CA2710016,LITTLE BEAR WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2261,A,1/15/1985 0:00:00,P,MONTEREY,2327,DISTRICT 05 - MONTEREY,COMMUNITY,COMMUNITY,"51201 PINE CANYON RD., SP.#125", ,KING CITY,CA,93930,705,{EECF4386-D6A7-47AA-9D06-1F612B7AE0E8},831-385-3524,dmorisoli@hotmail.com,WBT Tool,,Pending, , ,404229.144209999998566,3091.140310100000079,36.177568393599998,-121.150375831999995
4452,CA0707608,Water Service Area,CA0707608,MARINA MOBILE MANOR,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2816,A,5/10/2016 0:00:00,P,CONTRA COSTA,75,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,COMMUNITY,3255 WELLS RD, ,OAKLEY,CA,94561,24,{C0418943-D868-4CF8-BD06-1EC5C7C9C6B4},510-325-2979,john@jmgutter.com,WBT Tool,,Not Verified, , ,13511.793343100000129,459.992389042000013,38.009972875099997,-121.635569649999994
4453,CA5000557,Water Service Area,CA5000557,VILLAGE FOOD MART WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2835,A,8/25/2005 0:00:00,P,STANISLAUS,25,LPA80 - STANISLAUS COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1530 1ST STREET, ,TULOCK,CA,95380,4,{750FDB1C-84B3-4F92-BEA4-91A16AA03FFE},209-667-5536,mogill@aol.com,WBT Tool,,Not Verified, , ,3074.357033350000165,224.658466306999998,37.479799388000004,-120.831857581999998
4454,CA3110044,Water Service Area,CA3110044,TAHOE CITY PUD - ALPINE PEAKS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2851,A,1/1/1976 0:00:00,L,PLACER,201,DISTRICT 02 - LASSEN,COMMUNITY,COMMUNITY,221 FAIRWAY DRIVE, ,TAHOE CITY,CA,96145,97,{6FBF0B56-4CE1-464E-8CD2-5688A94DCE14},530-580-6053,TLALIOTIS@TCPUD.ORG,WBT Tool,9/2/2019 0:00:00,Verified,K. Connaughton,District / LPA staff member,905452.942000000039116,8221.549389719999454,39.146264782499998,-120.217104598999995
4455,CA1010001,Water Service Area,CA1010001,BAKMAN WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,1780,A,1/1/1976 0:00:00,P,FRESNO,16756,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,5105 E. BELMONT, ,FRESNO,CA,93727,2608,{669C9D36-9AFB-4FFD-BA3D-2B6AA4022239},559-255-0324,shay@bakmanwater.com,WBT Tool,,Pending, , ,10424465.639200000092387,17560.187455800001771,36.746170621099999,-119.708324935999997
4456,CA3710044,Water Service Area,CA3710044,RINCON DEL DIABLO MWD (ID-A),SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,2291,A,1/21/1999 0:00:00,L,SAN DIEGO,3330,DISTRICT 14 - SAN DIEGO,COMMUNITY,COMMUNITY,1920 NORTH IRIS LANE, ,ESCONDIDO,CA,92026,1057,{AD8FCDC3-1120-4D4A-B146-304C8FF57D53},760-745-5522,CBAZE@RINCONWATER.ORG,WBT Tool,,Not Verified, , ,7308492.807520000264049,31519.566065999999410,33.077223354300003,-117.043688299999999
4457,CA2900523,Water Service Area,CA2900523,WASHINGTON WATER DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3941,A,8/8/2016 0:00:00,P,NEVADA,330,LPA59 - NEVADA COUNTY,COMMUNITY,COMMUNITY,15845 Maybert RD, ,WASHINGTON,CA,95986,115,{80B8DB99-3DC1-4932-A349-5748615D5557},530-265-4720,washingtoncowtr@gmail.com,WBT Tool,,Not Verified, , ,8757904.709979999810457,15593.029979299999468,39.359924846799998,-120.779797975999998
4458,CA4600019,Water Service Area,CA4600019,SIERRA CO. W.W.D #1 CALPINE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3959,A,3/22/1979 0:00:00,L,SIERRA,225,DISTRICT 02 - LASSEN,COMMUNITY,COMMUNITY,131 County Road, ,CALPINE,CA,96124,135,{DF2CFC67-AB21-4974-8788-3B4022868C7F},530-994-1076,murphandlizzie@gmail.com,WBT Tool,9/2/2019 0:00:00,Verified,K. Connaughton,District / LPA staff member,2583318.688690000213683,8489.135957259999486,39.664942283599999,-120.441257500999996
4459,CA1000361,Water Service Area,CA1000361,WESTLANDS WATER DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3983,A,1/27/1983 0:00:00,L,FRESNO,48,DISTRICT 23 - FRESNO,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,23050 W MT WHITNEY, ,FIVE POINTS,CA,93624,4,{8FB1BCE6-632D-4360-9F58-D03C83072900},559-884-2523,kvandergon@wwd.ca.gov,WBT Tool,,Not Verified, , ,140440.637527000013506,1637.634966999999961,36.431335552299998,-120.212902317000001
4460,CA3210004,Water Service Area,CA3210004,AMERICAN VALLEY CSD,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3058,A,3/22/1979 0:00:00,L,PLUMAS,4300,DISTRICT 02 - LASSEN,COMMUNITY,COMMUNITY,900 SPANISH CREEK ROAD, ,QUINCY,CA,95971,1607,{97CB2E0B-73D8-4C39-8275-1F226C2F6250},530-283-0836,katie@americanvalleycsd.com,WBT Tool,9/2/2019 0:00:00,Verified,K. Connaughton,District / LPA staff member,7304966.500319999642670,18158.864622500001133,39.937825577900000,-120.945285052000003
4461,CA3301280,Water Service Area,CA3301280,GOLDEN ERA PRODUCTIONS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3103,A,7/27/2016 0:00:00,P,RIVERSIDE,500,LPA63 - RIVERSIDE COUNTY,COMMUNITY,COMMUNITY,19625 HWY 79, ,GILMAN HOT SPRINGS,CA,92583,30,{4AF4157E-52F8-4BA9-8737-EF9491683E14},951-654-5347,murield@goldeneraproductions.org,WBT Tool,,Not Verified, , ,1217608.085230000084266,4507.295388210000056,33.834724801299998,-116.986519987999998
4462,CA1000480,Water Service Area,CA1000480,FOWLER PACKING COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4047,A,2/14/1994 0:00:00,P,FRESNO,470,DISTRICT 23 - FRESNO,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,8570 S CEDAR, ,FRESNO,CA,93725,5,{44FA2C3C-5802-49C9-9504-528A8A3CFAE9},559-834-5911,kene@fowlerpacking.com,WBT Tool,,Not Verified, , ,219634.819499000004726,1877.008451389999891,36.608048499900001,-119.752644364999995
4463,CA1000005,Water Service Area,CA1000005,BIG CREEK COMMUNITY SERV DIST,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3117,A,3/22/1979 0:00:00,L,FRESNO,72,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,BIG CREEK, ,BIG CREEK,CA,93605,67,{F07AD1F1-540E-45DB-B698-176D29B13513},559-974-7271,bcservices218@gmail.com,WBT Tool,,Not Verified, , ,218989.438877999986289,3495.228885819999959,37.204633414000000,-119.249076079999995
4464,CA4900512,Water Service Area,CA4900512,HAPPY ACRES MUTUAL BENEFIT WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4076,A,3/22/1979 0:00:00,P,SONOMA,260,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,Gladdie Lane and Everest Road, ,PETALUMA,CA,94952,79,{CD555D6A-D543-4652-BD37-6823A4032B31},707-664-1768,houdybob@aol.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,768809.271142999990843,4284.443750950000322,38.302814127399998,-122.732960282999997
4465,CA3900602,Water Service Area,CA3900602,TAHAMA VILLAGE MOBILE HOME PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4101,A,8/8/2016 0:00:00,P,SAN JOAQUIN,200,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,10780 N HWY 99, ,STOCKTON,CA,95212,68,{8EFB9B9C-07DF-40F7-869E-E2F8EF364C8E},209-322-4001,hbright@cricommercial.com,WBT Tool,,Not Verified, , ,59492.844640000002983,1001.625512029999982,38.056204495700001,-121.256647736000005
4466,CA5410503,Water Service Area,CA5410503,NPS-WOLVERTON,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3225,A,1/1/1976 0:00:00,F,TULARE,2940,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,62805 WOLVERTON ROAD,WOLVERTON SKI AREA,SEQUOIA NATIONAL PARK,CA,93262,125,{265F3A72-78CE-437B-B452-E87BA6E384FB},559-565-3749,bright_avusuglo-ahia@nps.gov,WBT Tool,,Not Verified, , ,77315.613999900000636,1334.358553329999950,36.596167869900000,-118.734516354999997
4467,CA1400525,Water Service Area,CA1400525,LAWS TOWN INYO COUNTY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4140,A,4/30/2015 0:00:00,L,INYO,65,DISTRICT 13 - SAN BERNARDINO,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,BISHOP,CA,93514,14,{CC4DB8AE-A238-4B5C-A431-BDBC2A214568},760-878-0208,kpaterson@inyocounty.us,WBT Tool,,Not Verified, , ,397786.295548999973107,4433.508155720000104,37.402017736799998,-118.346284901999994
4468,CA0790002,Water Service Area,CA0790002,CENTRAL CONTRA COSTA SANITARY DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4165,A,2/1/1996 0:00:00, ,CONTRA COSTA,0,DISTRICT 04 - SAN FRANCISCO,NON-PUBLIC,Recycled Water, ,5019 IMHOFF PLACE,MARTINEZ,CA,94553,0,{B4D8FDDA-6B54-4DFE-AEF6-81D9D52B3819}, ,dfrost@centralsan.org,WBT Tool,,Not Verified, , ,417358.950521000020672,2684.038562619999993,37.998653799400003,-122.067089258999999
4469,CA3610003,Water Service Area,CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3247,A,1/1/1976 0:00:00,P,SAN BERNARDINO,62602,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,21760 OTTAWA ROAD, ,APPLE VALLEY,CA,92307,21059,{04B13DB0-5044-4D6C-95F9-D93012FF8304},760-240-8325,carol.thomas-keefer@libertyutilities.com,WBT Tool,,Not Verified, , ,196310581.358000010251999,254167.518318999995245,34.532624500099999,-117.208093892999997
4470,CA5000371,Water Service Area,CA5000371,ROHDE ROAD APARTMENTS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3262,A,1/1/1992 0:00:00,P,STANISLAUS,16,LPA80 - STANISLAUS COUNTY,NON-PUBLIC,STATE SMALL WATER SYSTEM, , ,CERES,CA,95307,8,{B43CF534-72E0-4896-A079-DD1317DA9065},209-485-5166,PSAKSHI1@SBCGLOBAL.NET,WBT Tool,,Not Verified, , ,16301.423962999999276,522.199652996000054,37.566069426200002,-120.926032336999995
4471,CA2710301,Water Service Area,CA2710301,CSP-ANDREW MOLERA STATE RESERVE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3278,A,1/1/1976 0:00:00,S,MONTEREY,1000,DISTRICT 05 - MONTEREY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,45500 CA-1, ,BIG SUR,CA,93920,6,{F5AEE1C3-DE3E-4188-8019-576D31234AF3},831-667-2819,mlewis@parks.ca.gov,WBT Tool,,Not Verified, , ,111946.094255000003614,1492.195758099999921,36.286291360200003,-121.842769856000004
4472,CA4910702,Water Service Area,CA4910702,U.S. ARMY CORPS-LAKE SONOMA HEADQUARTERS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3296,A,12/9/1993 0:00:00,F,SONOMA,52,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,3333 Skaggs Springs Road, ,GEYSERVILLE,CA,95441,12,{4D21FDAA-8CF3-44E9-A9DE-8C37E3F3FAF4},707-431-4550,leslie.a.candotti@usace.army.mil,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,854581.263828000053763,3790.019006500000160,38.717442615899998,-122.997447800000003
4473,CA1810700,Water Service Area,CA1810700,SIERRA ARMY DEPOT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4190,A,3/31/1980 0:00:00,F,LASSEN,1562,DISTRICT 02 - LASSEN,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,HERLONG,CA,96113,271,{4419FF1C-92F3-45C2-B67A-6E174F426BBE},530-827-5242,thomas.d.humphreys4.civ@mail.mil,WBT Tool,9/2/2019 0:00:00,Verified,K. Connaughton,District / LPA staff member,220138209.773000001907349,60056.176501499998267,40.210724504900000,-120.134899828000002
4474,CA2300506,Water Service Area,CA2300506,MEADOW ESTATES MUTUAL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4214,A,3/22/1979 0:00:00,P,MENDOCINO,100,DISTRICT 03 - MENDOCINO,COMMUNITY,COMMUNITY,13400 Estates Drive, ,BOONVILLE,CA,95415,35,{38C88C01-759C-4FBB-9BE7-267ECFEE8017}, ,norval2@gmail.com,WBT Tool,,Not Verified, , ,376947.003792000003159,2760.863292819999970,39.016953211699999,-123.379587123999997
4475,CA2810005,Water Service Area,CA2810005,"AMERICAN CANYON, CITY OF",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4241,A,1/1/1976 0:00:00,L,NAPA,20990,DISTRICT 03 - MENDOCINO,COMMUNITY,COMMUNITY,250 Kirkland Ranch Road, ,AMERICAN CANYON,CA,94503,5341,{E19DFCCB-F796-402E-B5DB-510890537362},707-258-1269,dpatrick@cityofamericancanyon.org,WBT Tool,,Not Verified, , ,128915837.511000007390976,55233.848504900000989,38.197179201700003,-122.251078286999999
4476,CA2900529,Water Service Area,CA2900529,GOLD COUNTRY HOME PARK - WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,4255,A,8/8/2016 0:00:00,P,NEVADA,60,LPA59 - NEVADA COUNTY,COMMUNITY,COMMUNITY,10211 SCHOOL STREET,"P O BOX 1110 MEADOW VISTA, CA 95722",NORTH SAN JUAN,CA,95960,27,{F963DF6C-E48B-4F00-A162-4BDB9A1D9075},530-368-6345,goldcountry@montechristomh.com,WBT Tool,,Not Verified, , ,24260.687165999999706,680.819273451999948,39.366340225899997,-121.105831023999997
4477,CA1900155,Water Service Area,CA1900155,WILSONA GARDENS MUTUAL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3317,A,8/8/2016 0:00:00,P,LOS ANGELES,74,LPA49 - LA COUNTY,COMMUNITY,COMMUNITY,17100 WEST AVENUE L-8, ,LANCASTER,CA,93535,39,{2F0DF730-6DF0-4511-874B-F3B7A883542E},661-727-1066,WGMWATERCOM@GMAIL.COM,WBT Tool,,Not Verified, , ,990014.690341999987140,4974.495627440000135,34.667796473400003,-117.825240617000006
4478,CA4810009,Water Service Area,CA4810009,CITY OF DIXON,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3352,A,12/15/1992 0:00:00,L,SOLANO,9037,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,COMMUNITY,600 East A St., ,DIXON,CA,95620,2938,{41390D39-49F4-4BE9-B51A-EB80665A6B4B},707-678-7000,jlindley@ci.dixon.ca.us,WBT Tool,,Not Verified, , ,27404617.276999998837709,34929.370170599999256,38.453193483100002,-121.827140185000005
