Year,Basin,BasinID,GWDP_Annual,SWDTotal_Annual,GWCTotal_Annual,SWDemandTotal_Annual,TotalNonConsumptiveUse_Annual,NetSurfaceWaterLoss_Annual,,PrecipitationRate_NonPeak,PrecipitationRate_Peak,PrecipitationRate_Annual,PrecipitationVolume_NonPeak,PrecipitationVolume_Peak,PrecipitationVolume_Annual,TotalRecharge,TotalRunoff,TotalET,SuppyTotal_NonPeak,SupplyTotal_Peak,SupplyTotal_Annual,StreamflowAF_NonPeak,StreamflowAF_Peak,StreamflowAF_Annual,StreamflowAFUncapped_NonPeak,StreamflowAFUncapped_Peak,StreamflowAFUncapped_Annual,SWDTotal_NonPeak,SWDTotal_Peak,GWDP_NonPeak,GWDP_Peak,BasinInflows_NonPeak,BasinInflows_Peak,BasinInflows_Annual,LongTermDemandTotal_NonPeak,LongTermDemandTotal_Peak,LongTermDemandTotal_Annual,NearTermDemandTotal_NonPeak,NearTermDemandTotal_Peak,NearTermDemandTotal_Annual,ProjectedLongTermDemandTotal_NonPeak,ProjectedLongTermDemandTotal_Peak,ProjectedLongTermDemandTotal_Annual,SWDemandTotal_NonPeak,SWDemandTotal_Peak,SWDemandTotal_Annual,SWDemand_NonPeak,SWDemand_Peak,SWDemand_Annual,SWDEvaporation_NonPeak,SWDEvaporation_Peak,SWDEvaporation_Annual,GWCIrrigation_NonPeak,GWCIrrigation_Peak,GWCIrrigation_Annual,GWCMunicipal_NonPeak,GWCMunicipal_Peak,GWCMunicipal_Annual,GWCIndustrial_NonPeak,GWCIndustrial_Peak,GWCIndustrial_Annual,GWCTotal_NonPeak,GWCTotal_Peak,GWCTotal_Annual,NetSurfaceWaterLoss_NonPeak,NetSurfaceWaterLoss_Peak,NetSurfaceWaterLoss_Annual,TotalNonConsumptiveUse_NonPeak,TotalNonConsumptiveUse_Peak,TotalNonConsumptiveUse_Annual,InducedGWRecharge_NonPeak,InducedGWRecharge_Peak,InducedGWRecharge_Annual,InstreamFlow_NonPeak,InstreamFlow_Peak,InstreamFlow_Annual,Hydropower_NonPeak,Hydropower_Peak,Hydropower_Annual,BasinOutflows_NonPeak,BasinOutflows_Peak,BasinOutflows_Annual,GWIAcres,SWIAcres,COIAcres,NearTermBalanceNonPeak,NearTermBalance_Peak,NearTermBalance_Annual,LongTermBalance_NonPeak,LongTermBalance_Peak,LongTermBalance_Annual,ProjectedLongTermBalance_NonPeak,ProjectedLongTermBalance_Peak,ProjectedLongTermBalance_Annual
2003,LOWER PLATTE,6,192778,79117,395493,325709,2595059,0,,15,8,23,3152498,1562820,4715318,552424,270502,3892392,2149967,669143,2819110,408427,141961,550388,438135,142792,580927,39110,40008,102912,89866,1599519,397308,1996827,2411605,904656,3316261,2235627,877919,3113546,2532185,949889,3482074,199372,126337,325709,199372,126337,325709,0,0,0,268869,115230,384099,6667,998,7664,3354,376,3730,278890,116603,395493,0,0,0,1933343,661716,2595059,454054,153014,607068,1933343,661716,2595059,0,0,0,0,0,0,596092,18803,8298,-85659,-208776,-294435,-261637,-235513,-497151,-382218,-280746,-662964
2004,LOWER PLATTE,6,152627,72199,292358,320348,2585854,0,,19,9,28,3927069,1837603,5764672,559039,273676,4931957,2120014,783097,2903111,392357,216283,608640,450824,230741,681565,41425,30774,88283,64345,1597950,471694,2069645,2333437,865123,3198560,2214990,843840,3058830,2450109,908379,3358488,202569,117779,320348,202569,117779,320348,0,0,0,196575,84246,280821,6697,1002,7700,3458,379,3837,206730,85628,292358,0,0,0,1924138,661716,2585854,455717,153014,608731,1924138,661716,2585854,0,0,0,0,0,0,605086,18649,8579,-94976,-60743,-155719,-213423,-82027,-295450,-330095,-125283,-455378
2005,LOWER PLATTE,6,164752,81559,487951,329534,2592915,0,,17,9,26,3506318,1964048,5470366,451756,221279,4797331,2184401,758764,2943165,346050,80607,426657,375002,97362,472364,42734,38825,86983,77769,1708634,561562,2270196,2479625,930774,3410399,2222894,864307,3087200,2603607,977312,3580919,204026,125507,329534,204026,125507,329534,0,0,0,333205,142802,476007,6725,1006,7731,3785,428,4213,343715,144236,487951,0,0,0,1931885,661030,2592915,454054,153014,607068,1931885,661030,2592915,0,0,0,0,0,0,619026,18017,9290,-38493,-105543,-144036,-295224,-172010,-467234,-419206,-218549,-637754
2006,LOWER PLATTE,6,139221,73520,306763,321780,2560773,0,,13,11,24,2874662,2322580,5197242,475478,232887,4488877,2119643,460984,2580627,414459,81202,495661,424203,81202,505405,38319,35201,80310,58910,1586554,285671,1872225,2345164,844151,3189316,2208532,813241,3021773,2462423,886359,3348781,199504,122275,321780,199504,122275,321780,0,0,0,206189,88367,294555,6740,1008,7748,4014,446,4460,216943,89820,306763,0,0,0,1928717,632056,2560773,454054,153014,607068,1928717,632056,2560773,0,0,0,0,0,0,617109,18042,9279,-88889,-352257,-441146,-225521,-383167,-608689,-342780,-425375,-768155
2007,LOWER PLATTE,6,108214,75338,219274,318168,2593077,0,,25,13,38,5214421,2755632,7970053,870554,426629,6672869,3046039,983560,4029599,810937,300916,1111853,1063234,371979,1435213,40271,35067,63045,45169,2131786,602408,2734194,2286424,844095,3130519,2193675,825784,3019459,2400745,886299,3287045,199269,118899,318168,199269,118899,318168,0,0,0,144575,61961,206536,6763,1012,7775,4456,507,4963,155794,63480,219274,0,0,0,1931361,661716,2593077,454054,153014,607068,1931361,661716,2593077,0,0,0,0,0,0,616992,17661,9582,852364,157776,1010140,759615,139465,899080,645294,97260,742554
2008,LOWER PLATTE,6,147617,73514,326424,320043,2602512,0,,23,10,33,4748060,2269181,7017241,1503057,736326,4777859,3586218,1349236,4935454,1461893,555391,2017284,1617327,979270,2596597,43154,30360,75277,72340,2005894,691145,2697039,2371408,877572,3248980,2215783,854389,3070172,2489978,921450,3411428,199710,120333,320043,199710,120333,320043,0,0,0,219277,93976,313252,6834,1026,7860,4791,521,5312,230902,95522,326424,0,0,0,1940796,661716,2602512,455717,153014,608731,1940796,661716,2602512,0,0,0,0,0,0,616219,17648,9564,1370435,494847,1865282,1214810,471664,1686475,1096240,427785,1524026
2009,LOWER PLATTE,6,121809,87155,203297,315273,2594417,0,,16,14,30,3390149,2873352,6263501,1156865,567479,4539156,3442883,1113224,4556107,1214417,296505,1510922,1310453,330363,1640816,51280,35875,69562,52248,2107624,728597,2836221,2278207,834780,3112987,2203011,828488,3031500,2392117,876519,3268636,200749,114524,315273,200749,114524,315273,0,0,0,132949,56978,189928,6885,1030,7915,4923,532,5454,144757,58540,203297,0,0,0,1932701,661716,2594417,454054,153014,607068,1932701,661716,2594417,0,0,0,0,0,0,614720,17578,9531,1239872,284736,1524608,1164677,278444,1443120,1050766,236705,1287471
2010,LOWER PLATTE,6,89839,95793,272621,315956,2595186,0,,17,17,34,3524601,3634893,7159494,888536,435762,5835196,2994950,1751426,4746376,689408,447318,1136726,763807,1041985,1805792,59721,36072,53962,35877,2191859,1232160,3424018,2329078,854685,3183763,2189737,811243,3000980,2445531,897420,3342951,202305,113651,315956,202305,113651,315956,0,0,0,181423,77753,259176,6914,1035,7949,4965,532,5497,193302,79319,272621,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,617713,17670,9604,805213,940183,1745396,665872,896741,1562613,549418,854006,1403425
2011,LOWER PLATTE,6,76024,90832,151427,311212,2595186,0,,17,12,29,3571736,2668118,6239854,794402,390023,5055430,3124247,1003703,4127949,801710,218495,1020205,902725,267381,1170106,55739,35093,46278,29745,2220519,720369,2940889,2241638,816187,3057825,2179426,802995,2982422,2353720,856996,3210716,199678,111534,311212,199678,111534,311212,0,0,0,96462,41341,137803,7006,1053,8058,5022,543,5565,108490,42937,151427,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,621198,17427,9865,944821,200707,1145528,882609,187516,1070125,770527,146707,917233
2012,LOWER PLATTE,6,199071,109862,658848,335461,2595071,0,,14,4,18,2925297,924261,3849558,610096,298967,2940496,2413581,446739,2860320,521802,79332,601134,537205,79332,616537,51860,58002,94217,104854,1745702,204551,1950253,2604746,984635,3589381,2235250,894353,3129604,2734983,1033867,3768850,200237,135224,335461,200237,135224,335461,0,0,0,451576,193532,645108,7066,1057,8123,5071,546,5617,463713,195136,658848,0,0,0,1940796,654275,2595071,455717,153014,608731,1940796,654275,2595071,0,0,0,0,0,0,623732,17419,9865,178330,-447614,-269284,-191165,-537896,-729061,-321403,-587128,-908530
1988,MISSOURI TRIBUTARIES,7,7441,770,47923,1244,0,0,,13,8,21,376075,250290,626365,20519,4203,634465,47760,8193,55953,42289,5453,47742,42289,5453,47742,0,770,5471,1970,0,0,0,33676,15491,49167,5471,3214,8685,35360,16265,51625,0,1244,1244,0,1244,1244,0,0,0,33054,14166,47220,376,56,432,246,25,271,33676,14247,47923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37073,874,55,42289,4979,47268,14084,-7298,6786,12400,-8073,4328
1989,MISSOURI TRIBUTARIES,7,8103,655,45317,1060,0,0,,9,7,16,257082,220551,477633,17794,3645,426165,30695,6323,37018,24679,3581,28260,24679,3581,28260,0,655,6016,2087,0,0,0,31851,14526,46376,6016,3147,9163,33443,15252,48695,0,1060,1060,0,1060,1060,0,0,0,31234,13386,44620,371,55,426,246,25,271,31851,13466,45317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37080,865,54,24679,3177,27856,-1156,-8203,-9358,-2748,-8929,-11677
1990,MISSOURI TRIBUTARIES,7,8791,692,40906,1092,0,0,,11,9,20,329745,276937,606682,18763,3843,668520,29315,13852,43167,22772,10912,33684,22772,10912,33684,1,691,6542,2249,0,0,0,28790,13209,41998,6545,3338,9883,30229,13869,44098,3,1089,1092,3,1089,1092,0,0,0,28044,12019,40063,366,54,420,377,46,423,28787,12119,40906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38812,869,91,22770,10514,33284,526,643,1169,-914,-17,-931
1991,MISSOURI TRIBUTARIES,7,9307,834,52078,1308,0,0,,13,7,20,381965,220452,602417,19565,4007,928284,31244,20639,51883,24273,17469,41742,24273,17758,42031,7,827,6964,2343,0,0,0,36641,16745,53386,6976,3639,10615,38473,17582,56055,12,1296,1308,12,1296,1308,0,0,0,35812,15348,51160,364,54,418,453,46,500,36630,15449,52078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39290,880,92,24269,17000,41268,-5397,3894,-1503,-7229,3057,-4172
1992,MISSOURI TRIBUTARIES,7,9475,187,13580,282,0,0,,15,13,27,440383,376559,816943,19936,4083,598062,36164,15437,51602,28947,12993,41940,28947,12993,41940,0,186,7217,2258,0,0,0,9681,4181,13862,7217,2539,9757,10165,4390,14555,0,281,282,0,281,282,0,0,0,8863,3799,12662,364,54,418,453,46,500,9681,3899,13580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39788,876,92,28947,12898,41845,26483,11257,37740,25999,11048,37047
1993,MISSOURI TRIBUTARIES,7,8721,81,6290,117,0,0,,21,16,36,615891,465199,1081090,21128,4327,757041,73046,38535,111580,66364,36414,102778,71654,44506,116160,7,75,6675,2046,0,0,0,4585,1822,6407,6683,2155,8838,4815,1913,6727,8,109,117,8,109,117,0,0,0,3760,1611,5372,364,54,418,453,46,500,4578,1712,6290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40785,885,92,66363,36379,102742,68460,36713,105173,68231,36622,104853
1994,MISSOURI TRIBUTARIES,7,8054,203,16054,309,0,0,,12,18,29,353143,522861,876004,21488,4401,543358,64445,35207,99652,58222,33173,91395,58222,34072,92294,77,126,6146,1908,0,0,0,11526,4837,16363,6260,2103,8363,12103,5079,17181,114,195,309,114,195,309,0,0,0,10595,4541,15136,364,54,418,453,46,500,11413,4642,16054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41159,895,92,58185,33104,91289,52918,30370,83288,52342,30128,82470
1995,MISSOURI TRIBUTARIES,7,7518,389,24195,607,0,0,,22,14,36,643503,430010,1073513,21845,4474,896485,77540,36562,114102,71981,34214,106195,85025,34214,119239,1,388,5558,1960,0,0,0,17114,7689,24803,5560,2565,8125,17969,8073,26043,2,605,607,2,605,607,0,0,0,16294,6983,23277,364,54,418,453,46,500,17112,7084,24195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41520,903,93,71980,33997,105976,60426,28873,89299,59571,28488,88059
1996,MISSOURI TRIBUTARIES,7,7910,437,27470,673,0,0,,16,11,27,463167,329244,792412,20876,4276,715279,70673,19071,89744,64699,16698,81397,64699,16698,81397,12,425,5962,1948,0,0,0,19424,8719,28142,5982,2601,8583,20395,9155,29549,20,653,673,20,653,673,0,0,0,18586,7965,26551,364,54,418,453,46,500,19403,8066,27470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42510,898,93,64690,16471,81161,51249,10353,61602,50278,9917,60194
1997,MISSOURI TRIBUTARIES,7,8130,546,35586,860,0,0,,16,8,24,470062,251767,721829,21053,4312,829973,72703,19387,92090,66476,16938,83414,66476,16938,83414,110,436,6117,2013,0,0,0,25266,11180,36446,6298,2692,8990,26529,11739,38268,181,679,860,181,679,860,0,0,0,24268,10401,34668,364,54,418,453,46,500,25085,10501,35586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42978,882,93,66406,16695,83100,47437,8207,55644,46174,7648,53822
1998,MISSOURI TRIBUTARIES,7,8269,315,22880,499,0,0,,18,12,31,552453,366783,919236,20503,4199,702480,60982,20935,81917,54655,18678,73333,54655,18678,73333,51,264,6276,1993,0,0,0,16276,7103,23379,6361,2406,8768,17090,7458,24548,85,413,499,85,413,499,0,0,0,15374,6589,21962,364,54,418,453,46,500,16191,6689,22880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43900,819,146,54620,18529,73149,44705,13833,58538,43891,13478,57369
1999,MISSOURI TRIBUTARIES,7,8000,418,27142,657,0,0,,20,14,34,589956,425347,1015302,21349,4373,957931,68731,21496,90227,62743,19066,81809,62743,19066,81809,1,417,5987,2013,0,0,0,19177,8623,27800,5989,2668,8657,20135,9054,29190,2,655,657,2,655,657,0,0,0,18357,7867,26224,364,54,418,453,46,500,19174,7968,27142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44284,820,146,62741,18828,81570,49554,12873,62428,48595,12442,61038
2000,MISSOURI TRIBUTARIES,7,8083,720,48694,1141,0,0,,12,7,19,348312,217765,566077,21294,4361,783411,59265,16147,75412,53246,13363,66609,53246,13363,66609,11,709,6008,2075,0,0,0,34277,15558,49834,6024,3199,9224,35991,16335,52326,16,1124,1141,16,1124,1141,0,0,0,33443,14333,47776,364,54,418,453,46,500,34260,14433,48694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45967,830,148,53240,12948,66188,24988,590,25577,23274,-188,23086
2001,MISSOURI TRIBUTARIES,7,8729,444,27632,569,0,0,,17,10,27,515132,299322,814454,18999,3891,612098,63432,18968,82400,56817,16410,73227,56817,16410,73227,2,442,6613,2116,0,0,0,19519,8682,28200,6615,2683,9298,20495,9116,29610,2,567,569,2,567,569,0,0,0,18701,8015,26716,362,54,416,453,46,500,19517,8115,27632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47086,1040,149,56817,16285,73102,43913,10286,54199,42937,9852,52789
2002,MISSOURI TRIBUTARIES,7,8788,822,47875,1073,0,0,,13,10,23,401278,294426,695704,17436,3571,421411,53185,12009,65194,46791,8793,55584,46791,8793,55584,7,815,6387,2401,0,0,0,33695,15254,48948,6395,3466,9861,35379,16017,51396,8,1065,1073,8,1065,1073,0,0,0,32875,14089,46964,358,53,412,453,46,500,33686,14189,47875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47935,1056,151,46790,8543,55333,19491,-3244,16246,17806,-4007,13799
2003,MISSOURI TRIBUTARIES,7,9410,680,41636,889,0,0,,16,9,25,467729,282269,749998,16591,3398,717339,40402,23348,63750,33381,20279,53660,33381,20279,53660,0,680,7021,2389,0,0,0,29318,13206,42525,7021,3278,10299,30784,13867,44651,0,889,889,0,889,889,0,0,0,28510,12219,40729,355,53,408,453,46,500,29318,12318,41636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49290,1064,152,33381,20070,53451,11084,10142,21225,9618,9481,19099
2004,MISSOURI TRIBUTARIES,7,10208,760,44806,991,0,0,,17,7,24,499274,221498,720772,14460,2962,572256,44048,14622,58670,36248,11454,47702,36248,11454,47702,80,680,7720,2488,0,0,0,31644,14153,45797,7827,3372,11199,33226,14861,48087,107,884,991,107,884,991,0,0,0,30732,13171,43903,351,52,404,453,46,500,31537,13269,44806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50156,1061,152,36220,11251,47471,12403,469,12873,10821,-238,10583
2005,MISSOURI TRIBUTARIES,7,10663,815,47225,1065,0,0,,20,12,32,591983,371107,963090,17685,3622,1086275,45134,25928,71062,36862,22722,59584,36862,24146,61008,186,629,8086,2577,0,0,0,33477,14812,48290,8332,3396,11728,35151,15553,50704,246,819,1065,246,819,1065,0,0,0,32417,13893,46311,348,52,399,466,48,514,33231,13993,47225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51965,899,323,36802,22532,59334,11657,11116,22773,9983,10375,20358
2006,MISSOURI TRIBUTARIES,7,10919,932,56575,1226,0,0,,14,7,21,410879,211059,621938,16501,3380,532595,59828,13642,73470,51662,9957,61619,51662,9957,61619,74,858,8092,2827,0,0,0,39878,17923,57801,8192,3953,12145,41872,18819,60691,100,1126,1226,100,1126,1226,0,0,0,38960,16697,55658,344,51,395,474,48,522,39778,16797,56575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52585,898,324,51637,9689,61325,19950,-4281,15670,17956,-5177,12780
2007,MISSOURI TRIBUTARIES,7,11435,624,32461,698,0,0,,25,10,35,736310,305842,1042151,15358,3146,504354,82617,26755,109372,74034,23279,97313,78384,23279,101663,2,622,8581,2854,0,0,0,22900,10259,33159,8583,3550,12133,24045,10772,34817,2,696,698,2,696,698,0,0,0,22083,9464,31547,341,51,391,474,48,522,22897,9563,32461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53765,974,426,74034,23205,97239,59718,16496,76213,58573,15983,74556
2008,MISSOURI TRIBUTARIES,7,11686,519,26454,572,0,0,,23,9,32,677003,270251,947254,15150,3103,554822,99769,33475,133244,91151,29888,121039,102057,33159,135216,0,519,8618,3068,0,0,0,18692,8334,27027,8618,3640,12258,19627,8751,28378,0,572,572,0,572,572,0,0,0,17881,7663,25545,337,50,387,474,48,522,18692,7762,26454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55455,961,426,91151,29835,120986,81077,25141,106218,80142,24724,104866
2009,MISSOURI TRIBUTARIES,7,11814,888,43360,888,0,0,,18,10,28,543730,300942,844672,17053,3493,994869,78965,24385,103350,69864,20784,90648,69864,20784,90648,181,707,8920,2894,0,0,0,30706,13541,44247,9101,3601,12702,32242,14218,46460,181,707,888,181,707,888,0,0,0,29718,12736,42455,334,50,383,474,48,522,30526,12834,43360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56468,1193,424,69864,20784,90648,48258,10844,59102,46723,10167,56890
2010,MISSOURI TRIBUTARIES,7,11923,551,29145,551,0,0,,18,19,37,543861,565099,1108960,20260,4150,912884,71262,43301,114563,61994,40095,102089,63653,54137,117790,255,296,9013,2910,0,0,0,20830,8866,29696,9268,3206,12474,21871,9309,31181,255,296,551,255,296,551,0,0,0,19771,8473,28244,330,49,379,474,48,522,20575,8570,29145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56845,1096,514,61994,40095,102089,50432,34435,84867,49391,33991,83382
2011,MISSOURI TRIBUTARIES,7,11151,472,24233,406,0,0,,19,12,30,560846,345747,906593,18894,3870,814538,111800,38440,150239,103376,35240,138616,103788,40725,144513,13,460,8411,2740,0,0,0,17142,7497,24639,8418,3139,11557,18000,7871,25871,7,399,406,7,399,406,0,0,0,16335,7001,23336,326,49,375,474,48,522,17135,7097,24233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57602,1298,516,103382,35300,138682,94657,30943,125600,93800,30568,124368
2012,MISSOURI TRIBUTARIES,7,11591,2004,101937,1720,0,0,,12,2,15,368690,72316,441006,44063,40511,356433,72863,11711,84574,64356,6623,70979,64356,6623,70979,41,1963,8466,3125,0,0,0,71569,32088,103657,8507,4804,13311,75147,33693,108840,41,1679,1720,41,1679,1720,0,0,0,70731,30313,101045,323,48,371,474,48,522,71528,30410,101937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59658,1205,610,64356,6907,71263,1294,-20377,-19083,-2284,-21982,-24266
1988,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NEMAHA,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
